frame_index,measured_elapsed_ms,dt_ms,event_ms,update_ms,render_ms,debug_gui_ms,render_capture_ms,display_ms,frame_ms,existing_chunks,loaded_chunks,save_dirty_chunks,save_transactions,save_total_ms,save_max_ms,sections,mesh_dirty_sections,cpu_ready_sections,gpu_buffered_sections,queued_chunk_updates,random_tick_sections,random_tick_blocks,random_tick_sections_processed,random_ticks_dispatched,mesh_rebuilds,mesh_build_total_ms,mesh_build_last_ms,mesh_build_max_ms,solid_faces,transparent_faces,water_faces,flora_faces,solid_vertices,transparent_vertices,water_vertices,flora_vertices,terrain_vertex_stride_bytes,terrain_index_stride_bytes,resident_terrain_vertices,resident_terrain_indices,resident_terrain_vertex_bytes,resident_terrain_index_bytes,resident_terrain_buffer_bytes,actor_count,natural_mob_count,natural_mob_world_cap,natural_mob_local_cap,natural_mob_spawn_attempts,natural_mobs_spawned,natural_mobs_despawned,player_health,player_max_health,terrain_seed,terrain_generation_version,difficulty_profile_version,difficulty_id,post_victory_event_version,post_victory_completed_events,post_victory_active_event,post_victory_event_wave,world_time,day_cycle,daylight,fog_density,simulation_ticks
0,0.631542,8,0,2.93538,4.70342,0,0,0,7.63879,361,361,0,1,1.54921,1.54921,2195,433,1,1527,0,0,0,0,0,1626,1602.28,1.19021,3.85533,230706,124,0,78056,640795,496,0,312224,32,4,1013846,1986822,32443072,7947288,40390360,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6101,0.254208,1,0.0015,0
1,10.9986,10,0,5.61075,4.66746,0,0,0,10.2782,361,361,0,1,1.54921,1.54921,2195,432,0,1528,0,0,0,0,0,1627,1603.44,1.16775,3.85533,230706,124,0,78056,640795,496,0,312224,32,4,1014390,1988046,32460480,7952184,40412664,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6101,0.254208,1,0.0015,0
2,17.7409,7,0,2.49704,4.17758,0,0,0,6.67462,361,361,0,1,1.54921,1.54921,2195,432,0,1528,0,0,0,0,0,1627,1603.44,1.16775,3.85533,230706,124,0,78056,640795,496,0,312224,32,4,1014390,1988046,32460480,7952184,40412664,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6101,0.254208,1,0.0015,0
3,24.2724,6,0,2.34196,4.11608,0,0,0,6.45804,361,361,0,1,1.54921,1.54921,2195,432,0,1528,0,0,0,0,0,1627,1603.44,1.16775,3.85533,230706,124,0,78056,640795,496,0,312224,32,4,1014390,1988046,32460480,7952184,40412664,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6101,0.254208,1,0.0015,0
4,31.385,8,0,2.78063,4.26733,0,0,0,7.04796,361,361,0,1,1.54921,1.54921,2195,432,0,1528,0,0,0,0,0,1627,1603.44,1.16775,3.85533,230706,124,0,78056,640795,496,0,312224,32,4,1014390,1988046,32460480,7952184,40412664,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6101,0.254208,1,0.0015,0
5,41.072,9,0,2.51067,7.09758,0,0,0,9.60825,361,361,0,1,1.54921,1.54921,2195,432,0,1528,0,0,0,0,0,1627,1603.44,1.16775,3.85533,230706,124,0,78056,640795,496,0,312224,32,4,1014390,1988046,32460480,7952184,40412664,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6102,0.25425,1,0.0015,1
6,47.3513,6,0,2.35579,3.85954,0,0,0,6.21533,361,361,0,1,1.54921,1.54921,2195,432,0,1528,0,0,0,0,0,1627,1603.44,1.16775,3.85533,230706,124,0,78056,640795,496,0,312224,32,4,1014390,1988046,32460480,7952184,40412664,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6102,0.25425,1,0.0015,0
7,57.7737,11,0,2.4905,7.85963,0,0,0,10.3501,361,361,0,1,1.54921,1.54921,2195,432,0,1528,0,0,0,0,0,1627,1603.44,1.16775,3.85533,230706,124,0,78056,640795,496,0,312224,32,4,1014390,1988046,32460480,7952184,40412664,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6102,0.25425,1,0.0015,0
8,64.8259,7,0,2.56288,4.41825,0,0,0,6.98112,361,361,0,1,1.54921,1.54921,2195,432,0,1528,0,0,0,0,0,1627,1603.44,1.16775,3.85533,230706,124,0,78056,640795,496,0,312224,32,4,1014390,1988046,32460480,7952184,40412664,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6102,0.25425,1,0.0015,0
9,74.6805,10,0,2.52158,7.24812,0,0,0,9.76971,361,361,0,1,1.54921,1.54921,2195,432,0,1528,0,0,0,0,0,1627,1603.44,1.16775,3.85533,230706,124,0,78056,640795,496,0,312224,32,4,1014390,1988046,32460480,7952184,40412664,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6102,0.25425,1,0.0015,0
