frame_index,measured_elapsed_ms,dt_ms,event_ms,update_ms,render_ms,debug_gui_ms,render_capture_ms,display_ms,frame_ms,existing_chunks,loaded_chunks,save_dirty_chunks,save_transactions,save_total_ms,save_max_ms,sections,mesh_dirty_sections,cpu_ready_sections,gpu_buffered_sections,queued_chunk_updates,random_tick_sections,random_tick_blocks,random_tick_sections_processed,random_ticks_dispatched,mesh_rebuilds,mesh_build_total_ms,mesh_build_last_ms,mesh_build_max_ms,solid_faces,transparent_faces,water_faces,flora_faces,solid_vertices,transparent_vertices,water_vertices,flora_vertices,terrain_vertex_stride_bytes,terrain_index_stride_bytes,resident_terrain_vertices,resident_terrain_indices,resident_terrain_vertex_bytes,resident_terrain_index_bytes,resident_terrain_buffer_bytes,actor_count,natural_mob_count,natural_mob_world_cap,natural_mob_local_cap,natural_mob_spawn_attempts,natural_mobs_spawned,natural_mobs_despawned,player_health,player_max_health,terrain_seed,terrain_generation_version,difficulty_profile_version,difficulty_id,post_victory_event_version,post_victory_completed_events,post_victory_active_event,post_victory_event_wave,world_time,day_cycle,daylight,fog_density,simulation_ticks
0,3.28587,11,0,6.73029,4.32021,0,0,0,11.0505,356,356,0,1,1.36862,1.36862,2165,436,1,1497,0,0,0,0,0,1590,1621.87,0.529042,29.4225,224972,120,0,76489,625045,480,0,305956,32,4,990979,1942464,31711328,7769856,39481184,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6100,0.254167,1,0.0015,0
1,10.3647,7,0,2.81679,4.13675,0,0,0,6.95354,357,356,0,1,1.36862,1.36862,2165,432,1,1501,0,0,0,0,0,1595,1626.97,0.983292,29.4225,225942,120,0,76495,627713,480,0,305980,32,4,995820,1951500,31866240,7806000,39672240,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6100,0.254167,1,0.0015,0
2,20.2112,10,0,5.69496,4.085,0,0,0,9.77996,357,357,0,1,1.36862,1.36862,2171,436,1,1502,0,0,0,0,0,1596,1627.42,0.445083,29.4225,225947,120,0,76627,627733,480,0,306508,32,4,995879,1951632,31868128,7806528,39674656,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6100,0.254167,1,0.0015,0
3,28.1237,8,0,3.30938,4.53163,0,0,0,7.841,358,357,0,1,1.36862,1.36862,2171,432,1,1507,0,0,0,0,0,1601,1632.55,1.00396,29.4225,226519,120,0,76793,629271,480,0,307172,32,4,998625,1956876,31956000,7827504,39783504,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6101,0.254208,1,0.0015,1
4,37.9645,10,0,5.94696,3.82737,0,0,0,9.77433,358,358,0,1,1.36862,1.36862,2177,436,1,1508,0,0,0,0,0,1602,1633.14,0.590666,29.4225,226576,120,0,77071,629428,480,0,308284,32,4,998629,1956882,31956128,7827528,39783656,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6101,0.254208,1,0.0015,0
5,45.3104,7,0,3.24592,4.02313,0,0,0,7.26904,358,358,0,1,1.36862,1.36862,2177,432,1,1512,0,0,0,0,0,1606,1637.56,1.07142,29.4225,227185,120,0,77071,631068,480,0,308284,32,4,1001451,1962336,32046432,7849344,39895776,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6101,0.254208,1,0.0015,0
6,55.9475,11,0,6.14892,4.42696,0,0,0,10.5759,359,359,0,1,1.36862,1.36862,2183,437,0,1513,0,0,0,0,0,1607,1638.62,1.05696,29.4225,227185,120,0,77071,631068,480,0,308284,32,4,1001538,1962546,32049216,7850184,39899400,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6101,0.254208,1,0.0015,0
7,63.798,8,0,3.095,4.68938,0,0,0,7.78437,359,359,0,1,1.36862,1.36862,2183,432,1,1516,0,0,0,0,0,1612,1643.82,1.12917,29.4225,228181,120,0,77187,633865,480,0,308748,32,4,1003351,1966128,32107232,7864512,39971744,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6101,0.254208,1,0.0015,0
8,74.5283,11,0,6.01679,4.64438,0,0,0,10.6612,360,360,0,1,1.36862,1.36862,2189,437,0,1518,0,0,0,0,0,1613,1644.92,1.10008,29.4225,228412,120,0,77187,634529,480,0,308748,32,4,1005463,1970604,32174816,7882416,40057232,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6102,0.25425,1,0.0015,1
9,86.6128,12,0,7.40262,4.60771,0,0,0,12.0103,361,360,0,1,1.36862,1.36862,2189,432,2,1521,0,0,0,0,0,1619,1651.13,1.08508,29.4225,229084,120,0,77879,636287,480,0,311516,32,4,1008876,1976106,32284032,7904424,40188456,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6102,0.25425,1,0.0015,0
10,93.9294,7,0,2.92537,4.32137,0,0,0,7.24675,361,361,0,1,1.36862,1.36862,2195,436,1,1523,0,0,0,0,0,1620,1651.67,0.541917,29.4225,229163,120,0,78037,636515,480,0,312148,32,4,1009989,1978788,32319648,7915152,40234800,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6102,0.25425,1,0.0015,0
11,102.569,9,0,4.25921,4.258,0,0,0,8.51721,361,361,0,1,1.36862,1.36862,2195,432,1,1528,0,0,0,0,0,1625,1657.24,1.04812,29.4225,230464,120,0,78037,640035,480,0,312148,32,4,1014369,1988016,32459808,7952064,40411872,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6102,0.25425,1,0.0015,0
12,109.56,8,0,2.39642,4.52304,0,0,0,6.91946,361,361,0,1,1.36862,1.36862,2195,432,0,1528,0,0,0,0,0,1625,1657.24,1.04812,29.4225,230464,120,0,78037,640035,480,0,312148,32,4,1014369,1988016,32459808,7952064,40411872,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6102,0.25425,1,0.0015,0
13,117.208,7,0,2.31,5.26863,0,0,0,7.57862,361,361,0,1,1.36862,1.36862,2195,432,0,1528,0,0,0,0,0,1625,1657.24,1.04812,29.4225,230464,120,0,78037,640035,480,0,312148,32,4,1014369,1988016,32459808,7952064,40411872,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6102,0.25425,1,0.0015,0
14,124.137,7,0,2.47425,4.37396,0,0,0,6.84821,361,361,0,1,1.36862,1.36862,2195,432,0,1528,0,0,0,0,0,1625,1657.24,1.04812,29.4225,230464,120,0,78037,640035,480,0,312148,32,4,1014369,1988016,32459808,7952064,40411872,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6103,0.254292,1,0.0015,1
15,133.713,10,0,2.31212,7.19233,0,0,0,9.50446,361,361,0,1,1.36862,1.36862,2195,432,0,1528,0,0,0,0,0,1625,1657.24,1.04812,29.4225,230464,120,0,78037,640035,480,0,312148,32,4,1014369,1988016,32459808,7952064,40411872,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6103,0.254292,1,0.0015,0
16,140.681,7,0,2.55396,4.33008,0,0,0,6.88404,361,361,0,1,1.36862,1.36862,2195,432,0,1528,0,0,0,0,0,1625,1657.24,1.04812,29.4225,230464,120,0,78037,640035,480,0,312148,32,4,1014369,1988016,32459808,7952064,40411872,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6103,0.254292,1,0.0015,0
17,150.527,10,0,2.45962,7.3,0,0,0,9.75962,361,361,0,1,1.36862,1.36862,2195,432,0,1528,0,0,0,0,0,1625,1657.24,1.04812,29.4225,230464,120,0,78037,640035,480,0,312148,32,4,1014369,1988016,32459808,7952064,40411872,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6103,0.254292,1,0.0015,0
18,157.264,6,0,2.43187,4.23108,0,0,0,6.66296,361,361,0,1,1.36862,1.36862,2195,432,0,1528,0,0,0,0,0,1625,1657.24,1.04812,29.4225,230464,120,0,78037,640035,480,0,312148,32,4,1014369,1988016,32459808,7952064,40411872,4,4,12,4,4,4,0,19,20,20260807,5,1,1,1,0,0,0,6103,0.254292,1,0.0015,0
