frame_index,measured_elapsed_ms,dt_ms,event_ms,update_ms,render_ms,debug_gui_ms,render_capture_ms,display_ms,frame_ms,existing_chunks,loaded_chunks,save_dirty_chunks,save_transactions,save_total_ms,save_max_ms,sections,mesh_dirty_sections,cpu_ready_sections,gpu_buffered_sections,queued_chunk_updates,random_tick_sections,random_tick_blocks,random_tick_sections_processed,random_ticks_dispatched,mesh_rebuilds,mesh_build_total_ms,mesh_build_last_ms,mesh_build_max_ms,solid_faces,transparent_faces,water_faces,flora_faces,solid_vertices,transparent_vertices,water_vertices,flora_vertices,terrain_vertex_stride_bytes,terrain_index_stride_bytes,resident_terrain_vertices,resident_terrain_indices,resident_terrain_vertex_bytes,resident_terrain_index_bytes,resident_terrain_buffer_bytes,actor_count,natural_mob_count,natural_mob_world_cap,natural_mob_local_cap,natural_mob_spawn_attempts,natural_mobs_spawned,natural_mobs_despawned,player_health,player_max_health,terrain_seed,terrain_generation_version,difficulty_profile_version,difficulty_id,post_victory_event_version,post_victory_completed_events,post_victory_active_event,post_victory_event_wave,world_time,day_cycle,daylight,fog_density,simulation_ticks
0,317.226,12,0,7.73813,314.355,0,0,0,322.093,348,347,0,1,2.45175,2.45175,1758,365,3,1187,0,0,0,0,0,1267,1548.55,1.09987,3.52742,161195,8,29059,372,444082,32,116236,1488,32,4,620577,1268370,19858464,5073480,24931944,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6102,0.25425,1,0.0015,1
1,323.007,316,0,2.56592,3.01029,0,0,0,5.57621,361,361,0,1,2.45175,2.45175,1830,367,65,1191,0,0,0,0,0,1337,1627.81,2.40137,3.52742,168488,8,29433,486,464433,32,117732,1944,32,4,622542,1272642,19921344,5090568,25011912,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,5
2,328.905,6,0,2.49171,3.32621,0,0,0,5.81792,361,361,0,1,2.45175,2.45175,1830,367,57,1198,0,0,0,0,0,1337,1627.81,2.40137,3.52742,168488,8,29433,486,464433,32,117732,1944,32,4,626848,1281456,20059136,5125824,25184960,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
3,334.381,6,0,2.40325,2.99,0,0,0,5.39325,361,361,0,1,2.45175,2.45175,1830,367,49,1203,0,0,0,0,0,1337,1627.81,2.40137,3.52742,168488,8,29433,486,464433,32,117732,1944,32,4,628152,1284024,20100864,5136096,25236960,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
4,345.873,11,0,8.13179,3.28542,0,0,0,11.4172,361,361,0,1,2.45175,2.45175,1830,367,41,1208,0,0,0,0,0,1337,1627.81,2.40137,3.52742,168488,8,29433,486,464433,32,117732,1944,32,4,630749,1289106,20183968,5156424,25340392,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
5,355.045,9,0,6.12087,2.96958,0,0,0,9.09046,361,361,0,1,2.45175,2.45175,1830,367,33,1213,0,0,0,0,0,1337,1627.81,2.40137,3.52742,168488,8,29433,486,464433,32,117732,1944,32,4,633021,1294206,20256672,5176824,25433496,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
6,362.017,7,0,3.19921,3.69417,0,0,0,6.89337,361,361,0,1,2.45175,2.45175,1830,367,25,1220,0,0,0,0,0,1337,1627.81,2.40137,3.52742,168488,8,29433,486,464433,32,117732,1944,32,4,637970,1304688,20415040,5218752,25633792,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
7,372.273,11,0,6.85458,3.32675,0,0,0,10.1813,361,361,0,1,2.45175,2.45175,1830,367,17,1223,0,0,0,0,0,1337,1627.81,2.40137,3.52742,168488,8,29433,486,464433,32,117732,1944,32,4,638396,1305582,20428672,5222328,25651000,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
8,379.314,7,0,3.16471,3.80104,0,0,0,6.96575,361,361,0,1,2.45175,2.45175,1830,367,9,1228,0,0,0,0,0,1337,1627.81,2.40137,3.52742,168488,8,29433,486,464433,32,117732,1944,32,4,640689,1310352,20502048,5241408,25743456,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,1
9,388.48,9,0,6.11075,2.97871,0,0,0,9.08946,361,361,0,1,2.45175,2.45175,1830,367,1,1234,0,0,0,0,0,1337,1627.81,2.40137,3.52742,168488,8,29433,486,464433,32,117732,1944,32,4,644415,1318506,20621280,5274024,25895304,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,0
