frame_index,measured_elapsed_ms,dt_ms,event_ms,update_ms,render_ms,debug_gui_ms,render_capture_ms,display_ms,frame_ms,existing_chunks,loaded_chunks,save_dirty_chunks,save_transactions,save_total_ms,save_max_ms,sections,mesh_dirty_sections,cpu_ready_sections,gpu_buffered_sections,queued_chunk_updates,random_tick_sections,random_tick_blocks,random_tick_sections_processed,random_ticks_dispatched,mesh_rebuilds,mesh_build_total_ms,mesh_build_last_ms,mesh_build_max_ms,solid_faces,transparent_faces,water_faces,flora_faces,solid_vertices,transparent_vertices,water_vertices,flora_vertices,terrain_vertex_stride_bytes,terrain_index_stride_bytes,resident_terrain_vertices,resident_terrain_indices,resident_terrain_vertex_bytes,resident_terrain_index_bytes,resident_terrain_buffer_bytes,actor_count,natural_mob_count,natural_mob_world_cap,natural_mob_local_cap,natural_mob_spawn_attempts,natural_mobs_spawned,natural_mobs_despawned,player_health,player_max_health,terrain_seed,terrain_generation_version,difficulty_profile_version,difficulty_id,post_victory_event_version,post_victory_completed_events,post_victory_active_event,post_victory_event_wave,world_time,day_cycle,daylight,fog_density,simulation_ticks
0,296.119,8,0,4.87875,297.837,0,0,0,302.716,336,335,0,1,2.94392,2.94392,1697,371,2,1136,0,0,0,0,0,1202,1542.93,1.00871,4.07829,154089,12,28048,310,424575,48,112192,1240,32,4,596119,1217910,19075808,4871640,23947448,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6102,0.25425,1,0.0015,1
1,303.056,300,0,3.48904,3.35867,0,0,0,6.84771,349,349,0,1,2.94392,2.94392,1769,368,69,1140,0,0,0,0,0,1277,1645.56,1.83337,4.07829,162088,12,29059,392,446785,48,116236,1568,32,4,598472,1223094,19151104,4892376,24043480,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,5
2,309.769,7,0,2.71871,3.78067,0,0,0,6.49937,350,349,0,1,2.94392,2.94392,1769,366,63,1147,0,0,0,0,0,1279,1649.49,2.00196,4.07829,162193,12,29059,392,447110,48,116236,1568,32,4,601910,1230258,19261120,4921032,24182152,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
3,319.545,10,0,6.42325,3.27771,0,0,0,9.70096,350,350,0,1,2.94392,2.94392,1774,369,56,1154,0,0,0,0,0,1280,1649.94,0.448917,4.07829,162216,12,29127,392,447190,48,116508,1568,32,4,605627,1237788,19380064,4951152,24331216,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
4,338.225,19,0,14.7719,3.81542,0,0,0,18.5873,351,351,0,1,2.94392,2.94392,1779,369,53,1161,0,0,0,0,0,1285,1656.58,1.62058,4.07829,163099,12,29127,408,449629,48,116508,1632,32,4,609945,1247178,19518240,4988712,24506952,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
5,345.208,7,0,3.70808,3.19642,0,0,0,6.9045,351,351,0,1,2.94392,2.94392,1779,367,47,1168,0,0,0,0,0,1287,1660.95,2.13471,4.07829,163099,12,29127,408,449629,48,116508,1632,32,4,612851,1252650,19611232,5010600,24621832,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
6,356.649,11,0,7.99183,3.37763,0,0,0,11.3695,352,352,0,1,2.94392,2.94392,1784,371,41,1174,0,0,0,0,0,1289,1663.35,0.992167,4.07829,163263,12,29127,408,450087,48,116508,1632,32,4,615593,1258134,19698976,5032536,24731512,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
7,362.54,6,0,2.6845,3.12017,0,0,0,5.80467,352,352,0,1,2.94392,2.94392,1784,367,36,1180,0,0,0,0,0,1292,1666.94,1.17729,4.07829,163407,12,29381,408,450479,48,117524,1632,32,4,617427,1262298,19757664,5049192,24806856,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,1
8,386.558,24,0,19.5915,4.35667,0,0,0,23.9482,353,353,0,1,2.94392,2.94392,1789,367,33,1186,0,0,0,0,0,1297,1672.06,1.49158,4.07829,163564,12,29381,408,450893,48,117524,1632,32,4,620412,1268004,19853184,5072016,24925200,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,0
9,394.51,8,0,3.66129,4.20658,0,0,0,7.86787,353,353,0,1,2.94392,2.94392,1789,367,25,1190,0,0,0,0,0,1297,1672.06,1.49158,4.07829,163564,12,29381,408,450893,48,117524,1632,32,4,622457,1272462,19918624,5089848,25008472,4,4,12,4,4,4,0,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,0
