frame_index,measured_elapsed_ms,dt_ms,event_ms,update_ms,render_ms,debug_gui_ms,render_capture_ms,display_ms,frame_ms,existing_chunks,loaded_chunks,save_dirty_chunks,save_transactions,save_total_ms,save_max_ms,sections,mesh_dirty_sections,cpu_ready_sections,gpu_buffered_sections,queued_chunk_updates,random_tick_sections,random_tick_blocks,random_tick_sections_processed,random_ticks_dispatched,mesh_rebuilds,mesh_build_total_ms,mesh_build_last_ms,mesh_build_max_ms,solid_faces,transparent_faces,water_faces,flora_faces,solid_vertices,transparent_vertices,water_vertices,flora_vertices,terrain_vertex_stride_bytes,terrain_index_stride_bytes,resident_terrain_vertices,resident_terrain_indices,resident_terrain_vertex_bytes,resident_terrain_index_bytes,resident_terrain_buffer_bytes,actor_count,natural_mob_count,natural_mob_world_cap,natural_mob_local_cap,natural_mob_spawn_attempts,natural_mobs_spawned,natural_mobs_despawned,player_health,player_max_health,terrain_seed,terrain_generation_version,difficulty_profile_version,difficulty_id,post_victory_event_version,post_victory_completed_events,post_victory_active_event,post_victory_event_wave,world_time,day_cycle,daylight,fog_density,simulation_ticks
0,289.883,5,0,2.31942,292.976,0,0,0,295.295,146,146,0,1,2.03487,2.03487,748,294,0,396,0,0,0,0,0,1208,1438.86,1.07546,43.9866,162322,28,30817,198,452237,112,123268,792,32,4,239798,479346,7673536,1917384,9590920,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6100,0.254167,1,0.0015,0
1,294.096,296,0,1.87196,2.21283,0,0,0,4.08479,169,169,0,1,2.03487,2.03487,863,333,67,403,0,0,0,0,0,1283,1515.94,0.839042,43.9866,171724,28,34657,198,478270,112,138628,792,32,4,244035,487824,7809120,1951296,9760416,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,5
2,298.063,4,0,1.66517,2.24358,0,0,0,3.90875,169,169,0,1,2.03487,2.03487,863,330,62,411,0,0,0,0,0,1286,1518.59,1.06879,43.9866,171819,28,34913,198,478520,112,139652,792,32,4,248879,496842,7964128,1987368,9951496,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
3,303.083,5,0,2.40783,2.55267,0,0,0,4.9605,170,169,0,1,2.03487,2.03487,863,329,56,419,0,0,0,0,0,1288,1520.67,1.0085,43.9866,172200,28,34913,198,479581,112,139652,792,32,4,253326,505824,8106432,2023296,10129728,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
4,307.329,4,0,2.00325,2.16892,0,0,0,4.17217,170,170,0,1,2.03487,2.03487,868,333,48,426,0,0,0,0,0,1288,1520.67,1.0085,43.9866,172200,28,34913,198,479581,112,139652,792,32,4,258210,515190,8262720,2060760,10323480,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
5,311.345,4,0,1.68362,2.27838,0,0,0,3.962,170,170,0,1,2.03487,2.03487,868,330,43,434,0,0,0,0,0,1291,1523.32,1.09417,43.9866,172635,28,35169,198,480800,112,140676,792,32,4,262858,523848,8411456,2095392,10506848,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
6,315.542,4,0,1.46133,2.67692,0,0,0,4.13825,171,170,0,1,2.03487,2.03487,868,329,37,442,0,0,0,0,0,1293,1525.59,1.14008,43.9866,172902,28,35169,198,481540,112,140676,792,32,4,267080,532146,8546560,2128584,10675144,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
7,321.407,6,0,2.97525,2.82187,0,0,0,5.79713,171,171,0,1,2.03487,2.03487,873,333,29,450,0,0,0,0,0,1293,1525.59,1.14008,43.9866,172902,28,35169,198,481540,112,140676,792,32,4,271640,540756,8692480,2163024,10855504,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
8,325.833,4,0,1.744,2.60317,0,0,0,4.34717,171,171,0,1,2.03487,2.03487,873,329,25,457,0,0,0,0,0,1297,1529.35,1.14017,43.9866,173160,28,35425,198,482244,112,141700,792,32,4,275419,548178,8813408,2192712,11006120,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
9,329.495,4,0,1.408,2.19283,0,0,0,3.60083,172,171,0,1,2.03487,2.03487,873,329,18,465,0,0,0,0,0,1298,1530.3,0.94775,43.9866,173456,28,35425,198,483074,112,141700,792,32,4,279792,556410,8953344,2225640,11178984,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
