frame_index,measured_elapsed_ms,dt_ms,event_ms,update_ms,render_ms,debug_gui_ms,render_capture_ms,display_ms,frame_ms,existing_chunks,loaded_chunks,save_dirty_chunks,save_transactions,save_total_ms,save_max_ms,sections,mesh_dirty_sections,cpu_ready_sections,gpu_buffered_sections,queued_chunk_updates,random_tick_sections,random_tick_blocks,random_tick_sections_processed,random_ticks_dispatched,mesh_rebuilds,mesh_build_total_ms,mesh_build_last_ms,mesh_build_max_ms,solid_faces,transparent_faces,water_faces,flora_faces,solid_vertices,transparent_vertices,water_vertices,flora_vertices,terrain_vertex_stride_bytes,terrain_index_stride_bytes,resident_terrain_vertices,resident_terrain_indices,resident_terrain_vertex_bytes,resident_terrain_index_bytes,resident_terrain_buffer_bytes,actor_count,natural_mob_count,natural_mob_world_cap,natural_mob_local_cap,natural_mob_spawn_attempts,natural_mobs_spawned,natural_mobs_despawned,player_health,player_max_health,terrain_seed,terrain_generation_version,difficulty_profile_version,difficulty_id,post_victory_event_version,post_victory_completed_events,post_victory_active_event,post_victory_event_wave,world_time,day_cycle,daylight,fog_density,simulation_ticks
0,281.289,6,0,4.15408,283.768,0,0,0,287.922,129,129,0,1,1.80238,1.80238,661,290,0,321,0,0,0,0,0,1018,1276.65,2.20392,23.2045,135750,16,28337,106,378589,64,113348,424,32,4,201474,400794,6447168,1603176,8050344,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6100,0.254167,1,0.0015,1
1,288.011,288,0,4.5385,2.0805,0,0,0,6.619,146,146,0,1,1.80238,1.80238,746,310,57,328,0,0,0,0,0,1083,1357.15,1.3695,23.2045,145310,16,31665,106,405153,64,126660,424,32,4,207782,413748,6649024,1654992,8304016,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,5
2,292.42,5,0,1.76096,2.57504,0,0,0,4.336,146,146,0,1,1.80238,1.80238,746,308,50,336,0,0,0,0,0,1084,1358.18,1.027,23.2045,145310,16,31921,106,405153,64,127684,424,32,4,211743,420786,6775776,1683144,8458920,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
3,298.158,5,0,3.45812,2.20842,0,0,0,5.66654,146,146,0,1,1.80238,1.80238,746,305,45,344,0,0,0,0,0,1087,1362.56,1.03242,23.2045,145921,16,31921,106,406909,64,127684,424,32,4,217266,432084,6952512,1728336,8680848,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
4,313.735,16,0,13.4389,2.07217,0,0,0,15.511,148,147,0,1,1.80238,1.80238,751,310,38,351,0,0,0,0,0,1088,1364.23,1.66825,23.2045,146126,16,31921,106,407480,64,127684,424,32,4,221131,439110,7076192,1756440,8832632,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
5,328.218,14,0,11.957,2.45425,0,0,0,14.4113,149,149,0,1,1.80238,1.80238,761,320,30,359,0,0,0,0,0,1088,1364.23,1.66825,23.2045,146126,16,31921,106,407480,64,127684,424,32,4,227313,450978,7274016,1803912,9077928,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
6,332.013,4,0,1.52238,2.19888,0,0,0,3.72125,149,149,0,1,1.80238,1.80238,761,318,23,367,0,0,0,0,0,1089,1364.67,0.439625,23.2045,146126,16,32177,106,407480,64,128708,424,32,4,231135,458640,7396320,1834560,9230880,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
7,347.591,16,0,13.2262,2.27971,0,0,0,15.5059,150,150,0,1,1.80238,1.80238,766,318,20,374,0,0,0,0,0,1094,1371.84,0.435041,23.2045,146587,16,32433,106,408755,64,129732,424,32,4,236427,468816,7565664,1875264,9440928,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
8,363.432,16,0,13.3508,2.42179,0,0,0,15.7726,151,151,0,1,1.80238,1.80238,771,320,16,382,0,0,0,0,0,1098,1376.84,1.08204,23.2045,147066,16,32433,106,410034,64,129732,424,32,4,240326,476586,7690432,1906344,9596776,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6106,0.254417,1,0.0015,1
9,367.694,4,0,1.66346,2.5275,0,0,0,4.19096,152,151,0,1,1.80238,1.80238,771,320,8,390,0,0,0,0,0,1098,1376.84,1.08204,23.2045,147066,16,32433,106,410034,64,129732,424,32,4,244801,484734,7833632,1938936,9772568,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6106,0.254417,1,0.0015,0
