frame_index,measured_elapsed_ms,dt_ms,event_ms,update_ms,render_ms,debug_gui_ms,render_capture_ms,display_ms,frame_ms,existing_chunks,loaded_chunks,save_dirty_chunks,save_transactions,save_total_ms,save_max_ms,sections,mesh_dirty_sections,cpu_ready_sections,gpu_buffered_sections,queued_chunk_updates,random_tick_sections,random_tick_blocks,random_tick_sections_processed,random_ticks_dispatched,mesh_rebuilds,mesh_build_total_ms,mesh_build_last_ms,mesh_build_max_ms,solid_faces,transparent_faces,water_faces,flora_faces,solid_vertices,transparent_vertices,water_vertices,flora_vertices,terrain_vertex_stride_bytes,terrain_index_stride_bytes,resident_terrain_vertices,resident_terrain_indices,resident_terrain_vertex_bytes,resident_terrain_index_bytes,resident_terrain_buffer_bytes,actor_count,natural_mob_count,natural_mob_world_cap,natural_mob_local_cap,natural_mob_spawn_attempts,natural_mobs_spawned,natural_mobs_despawned,player_health,player_max_health,terrain_seed,terrain_generation_version,difficulty_profile_version,difficulty_id,post_victory_event_version,post_victory_completed_events,post_victory_active_event,post_victory_event_wave,world_time,day_cycle,daylight,fog_density,simulation_ticks
0,285.535,13,0,10.676,283.357,0,0,0,294.033,174,174,0,1,2.09696,2.09696,895,304,3,506,0,0,0,0,0,1485,1416.73,1.21371,7.21063,195198,16,35005,468,543360,64,140020,1872,32,4,291500,585918,9328000,2343672,11671672,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6100,0.254167,1,0.0015,0
1,291.315,287,0,3.3875,2.28758,0,0,0,5.67508,199,199,0,1,2.09696,2.09696,1020,337,87,514,0,0,0,0,0,1577,1501,0.986583,7.21063,206589,16,39509,468,574846,64,158036,1872,32,4,295322,593580,9450304,2374320,11824624,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,5
2,294.711,3,0,1.41558,1.93383,0,0,0,3.34942,199,199,0,1,2.09696,2.09696,1020,334,82,521,0,0,0,0,0,1580,1503.74,1.14258,7.21063,207238,16,39765,468,576667,64,159060,1872,32,4,300614,603756,9619648,2415024,12034672,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
3,304.216,10,0,7.28017,2.18396,0,0,0,9.46412,200,200,0,1,2.09696,2.09696,1025,337,76,529,0,0,0,0,0,1582,1505.7,1.04217,7.21063,207952,16,39765,468,578720,64,159060,1872,32,4,304513,611526,9744416,2446104,12190520,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
4,307.587,3,0,1.4305,1.87846,0,0,0,3.30896,200,200,0,1,2.09696,2.09696,1025,334,71,537,0,0,0,0,0,1585,1508.35,1.04379,7.21063,208219,16,40021,468,579471,64,160084,1872,32,4,308988,619674,9887616,2478696,12366312,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
5,321.176,14,0,11.2746,2.2745,0,0,0,13.5491,201,201,0,1,2.09696,2.09696,1030,333,69,545,0,0,0,0,0,1591,1513.83,0.974209,7.21063,209474,16,40277,468,582944,64,161108,1872,32,4,313490,628206,10031680,2512824,12544504,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
6,324.627,3,0,1.43758,1.95617,0,0,0,3.39375,202,201,0,1,2.09696,2.09696,1030,333,62,552,0,0,0,0,0,1592,1514.77,0.938,7.21063,209474,16,40277,468,582944,64,161108,1872,32,4,317939,637050,10174048,2548200,12722248,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
7,337.641,13,0,10.6474,2.32133,0,0,0,12.9688,203,202,0,1,2.09696,2.09696,1035,333,59,560,0,0,0,0,0,1597,1519.4,0.958542,7.21063,210370,16,40533,468,585364,64,162132,1872,32,4,322199,645000,10310368,2580000,12890368,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
8,342.703,5,0,2.77717,2.21846,0,0,0,4.99563,203,203,0,1,2.09696,2.09696,1040,337,51,568,0,0,0,0,0,1597,1519.4,0.958542,7.21063,210370,16,40533,468,585364,64,162132,1872,32,4,325181,650868,10405792,2603472,13009264,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6106,0.254417,1,0.0015,1
9,354.999,13,0,9.90792,2.33946,0,0,0,12.2474,204,204,0,1,2.09696,2.09696,1045,338,48,576,0,0,0,0,0,1602,1524.08,0.951917,7.21063,210980,16,40789,468,587100,64,163156,1872,32,4,330628,661266,10580096,2645064,13225160,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6106,0.254417,1,0.0015,0
10,358.924,4,0,1.587,2.26367,0,0,0,3.85067,204,204,0,1,2.09696,2.09696,1045,335,42,584,0,0,0,0,0,1604,1525.7,1.12821,7.21063,211233,16,41045,468,587802,64,164180,1872,32,4,335660,671028,10741120,2684112,13425232,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6106,0.254417,1,0.0015,0
