frame_index,measured_elapsed_ms,dt_ms,event_ms,update_ms,render_ms,debug_gui_ms,render_capture_ms,display_ms,frame_ms,existing_chunks,loaded_chunks,save_dirty_chunks,save_transactions,save_total_ms,save_max_ms,sections,mesh_dirty_sections,cpu_ready_sections,gpu_buffered_sections,queued_chunk_updates,random_tick_sections,random_tick_blocks,random_tick_sections_processed,random_ticks_dispatched,mesh_rebuilds,mesh_build_total_ms,mesh_build_last_ms,mesh_build_max_ms,solid_faces,transparent_faces,water_faces,flora_faces,solid_vertices,transparent_vertices,water_vertices,flora_vertices,terrain_vertex_stride_bytes,terrain_index_stride_bytes,resident_terrain_vertices,resident_terrain_indices,resident_terrain_vertex_bytes,resident_terrain_index_bytes,resident_terrain_buffer_bytes,actor_count,natural_mob_count,natural_mob_world_cap,natural_mob_local_cap,natural_mob_spawn_attempts,natural_mobs_spawned,natural_mobs_despawned,player_health,player_max_health,terrain_seed,terrain_generation_version,difficulty_profile_version,difficulty_id,post_victory_event_version,post_victory_completed_events,post_victory_active_event,post_victory_event_wave,world_time,day_cycle,daylight,fog_density,simulation_ticks
0,282.393,12,0,9.83929,273.395,0,0,0,283.235,132,131,0,1,2.03342,2.03342,671,283,4,333,0,0,0,0,0,1075,1357.36,0.990917,7.92975,142335,16,28725,132,396644,64,114900,528,32,4,205631,409464,6580192,1637856,8218048,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6100,0.254167,1,0.0015,0
1,286.842,275,0,1.93483,2.42638,0,0,0,4.36121,150,149,0,1,2.03342,2.03342,761,313,56,339,0,0,0,0,0,1135,1435.16,1.08088,7.92975,151241,16,31797,132,421392,64,127188,528,32,4,209499,417750,6703968,1671000,8374968,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,5
2,293.231,7,0,4.09808,2.19229,0,0,0,6.29038,150,150,0,1,2.03342,2.03342,766,317,48,347,0,0,0,0,0,1135,1435.16,1.08088,7.92975,151241,16,31797,132,421392,64,127188,528,32,4,215163,428526,6885216,1714104,8599320,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
3,300.58,7,0,5.141,2.13192,0,0,0,7.27292,150,150,0,1,2.03342,2.03342,766,313,45,355,0,0,0,0,0,1140,1440.91,1.00475,7.92975,151895,16,32053,132,423208,64,128212,528,32,4,219822,437310,7034304,1749240,8783544,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
4,311.654,11,0,8.87554,2.12175,0,0,0,10.9973,151,151,0,1,2.03342,2.03342,771,315,39,362,0,0,0,0,0,1142,1442.49,1.14446,7.92975,152004,16,32309,132,423516,64,129236,528,32,4,223993,445602,7167776,1782408,8950184,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
5,321.886,11,0,7.85583,2.30925,0,0,0,10.1651,152,152,0,1,2.03342,2.03342,776,318,34,370,0,0,0,0,0,1145,1445.72,1.06067,7.92975,152711,16,32309,132,425535,64,129236,528,32,4,230056,457338,7361792,1829352,9191144,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
6,331.129,9,0,6.75075,2.42696,0,0,0,9.17771,153,153,0,1,2.03342,2.03342,781,323,26,378,0,0,0,0,0,1145,1445.72,1.06067,7.92975,152711,16,32309,132,425535,64,129236,528,32,4,233868,464784,7483776,1859136,9342912,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
7,335.466,4,0,1.56642,2.69925,0,0,0,4.26567,154,153,0,1,2.03342,2.03342,781,323,18,385,0,0,0,0,0,1145,1445.72,1.06067,7.92975,152711,16,32309,132,425535,64,129236,528,32,4,239004,474618,7648128,1898472,9546600,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
8,345.702,10,0,7.24054,2.92204,0,0,0,10.1626,154,154,0,1,2.03342,2.03342,786,325,12,393,0,0,0,0,0,1147,1447.27,1.09058,7.92975,152861,16,32565,132,425939,64,130260,528,32,4,244014,484212,7808448,1936848,9745296,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6106,0.254417,1,0.0015,1
9,350.255,5,0,1.86929,2.60071,0,0,0,4.47,154,154,0,1,2.03342,2.03342,786,323,7,401,0,0,0,0,0,1150,1452.39,2.25679,7.92975,153172,16,32565,132,426810,64,130260,528,32,4,248873,493914,7963936,1975656,9939592,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6106,0.254417,1,0.0015,0
10,361.925,13,0,9.05213,2.54321,0,0,0,11.5953,155,155,0,1,2.03342,2.03342,791,326,1,408,0,0,0,0,0,1151,1453.03,0.635208,7.92975,153172,16,32821,132,426810,64,131284,528,32,4,252504,500406,8080128,2001624,10081752,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6106,0.254417,1,0.0015,0
11,365.881,4,0,1.404,2.40479,0,0,0,3.80879,155,155,0,1,2.03342,2.03342,791,323,1,411,0,0,0,0,0,1154,1456.87,1.17104,7.92975,153448,16,32821,132,427543,64,131284,528,32,4,254247,503562,8135904,2014248,10150152,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6106,0.254417,1,0.0015,0
12,378.375,11,0,9.80958,2.61317,0,0,0,12.4228,157,156,0,1,2.03342,2.03342,796,328,0,413,0,0,0,0,0,1155,1458.24,1.36996,7.92975,153651,16,32821,132,428089,64,131284,528,32,4,254807,504816,8153824,2019264,10173088,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6106,0.254417,1,0.0015,0
